City,Country,Lat,Lng,Temp,Cloudiness,Humidity,Wind Speed
Ust-Maya,RU,60.4167,134.5333,37.33,100,94,3.29
Barrow,US,71.2906,-156.7887,19.4,90,86,9.22
Albany,US,42.6001,-73.9662,55.45,80,89,2.86
Northport,US,33.229,-87.5772,74.5,1,64,6.91
Ancud,CL,-41.8697,-73.8203,56.12,90,100,10.36
Busselton,AU,-33.65,115.3333,71.89,100,79,7.0
Butaritari,KI,3.0707,172.7902,81.72,91,77,10.8
Rikitea,PF,-23.1203,-134.9692,75.72,84,65,10.56
Khatanga,RU,71.9667,102.5,33.6,100,94,8.21
Mount Isa,AU,-20.7333,139.5,86.0,75,23,11.5
Vestmanna,FO,62.1564,-7.1664,37.4,90,81,4.61
Jiuquan,CN,39.7432,98.5174,73.15,7,6,19.6
Dingle,PH,10.9995,122.6711,88.61,48,55,6.55
Punta Arenas,CL,-53.15,-70.9167,39.09,75,87,16.11
Celestún,MX,20.8667,-90.4,86.34,0,51,18.81
East London,ZA,-33.0153,27.9116,66.2,100,82,12.03
Hithadhoo,MV,-0.6,73.0833,83.98,61,70,10.63
George Town,MY,5.4112,100.3354,85.62,20,74,3.44
Mahébourg,MU,-20.4081,57.7,77.0,40,88,9.22
Ushuaia,AR,-54.8,-68.3,35.6,75,80,31.07
Nome,US,64.5011,-165.4064,30.38,75,69,16.11
Goderich,CA,43.7501,-81.7165,41.0,100,100,4.61
Cabedelo,BR,-6.9811,-34.8339,75.2,0,94,2.3
Ormara,PK,25.2088,64.6357,81.45,10,75,2.37
Qaanaaq,GL,77.484,-69.3632,22.44,100,88,4.81
Saint-Philippe,RE,-21.3585,55.7679,73.98,0,78,10.36
Cabo San Lucas,MX,22.8909,-109.9124,68.9,40,60,9.22
Tasiilaq,GL,65.6145,-37.6368,30.2,90,100,3.44
Iqaluit,CA,63.7506,-68.5145,28.2,90,100,8.05
Lavrentiya,RU,65.5833,-171.0,27.32,8,76,6.04
Kloulklubed,PW,7.0419,134.2556,86.0,75,74,8.05
İslahiye,TR,37.025,36.6306,58.1,20,94,6.91
Kapaa,US,22.0752,-159.319,71.64,90,88,10.36
Mataura,NZ,-46.1927,168.8643,55.99,97,91,11.99
Camacha,PT,33.0833,-16.3333,60.8,40,72,3.44
Castro,BR,-24.7911,-50.0119,50.11,9,95,4.45
West Bay,KY,19.3667,-81.4167,78.55,20,83,2.3
São João da Barra,BR,-21.6403,-41.0511,73.36,97,73,6.96
Houma,US,29.5958,-90.7195,74.25,1,94,8.05
Kaitangata,NZ,-46.2817,169.8464,61.0,84,56,5.99
Ishigaki,JP,24.3448,124.1572,71.6,75,88,12.66
Hilo,US,19.7297,-155.09,74.21,90,61,4.61
Pevek,RU,69.7008,170.3133,23.99,99,77,5.35
Bredasdorp,ZA,-34.5322,20.0403,51.8,1,87,8.05
Ilulissat,GL,69.2167,-51.1,30.2,98,86,1.14
Barsovo,RU,61.1667,73.1667,39.2,75,100,6.71
Nanortalik,GL,60.1432,-45.2371,34.88,53,94,4.27
Port Alfred,ZA,-33.5906,26.891,67.37,100,86,15.77
Oranjestad,AW,12.524,-70.027,78.39,20,78,12.66
Bathsheba,BB,13.2167,-59.5167,78.8,40,65,19.57
Banyo,CM,6.75,11.8167,67.73,100,90,1.92
Bluff,NZ,-46.6,168.3333,55.99,94,91,11.99
Severo-Kuril'sk,RU,50.6789,156.125,37.81,96,83,4.18
Menongue,AO,-14.6585,17.691,60.12,59,76,2.28
Lebu,CL,-37.6167,-73.65,54.3,93,91,4.47
Bakel,SN,14.905,-12.4568,91.83,62,16,15.17
Constitución,CL,-35.3333,-72.4167,57.92,0,69,6.49
Zuwārah,LY,32.9312,12.082,69.8,100,66,5.39
Sitka,US,57.0531,-135.33,48.2,90,81,6.91
Puerto Ayora,EC,-0.7393,-90.3518,75.24,30,89,5.06
Ribeira Grande,PT,38.5167,-28.7,59.02,54,70,12.01
Berlevåg,NO,70.8578,29.0864,26.6,75,80,8.05
Hermanus,ZA,-34.4187,19.2345,55.0,20,92,5.1
Ust-Tsilma,RU,65.441,52.1498,28.56,100,71,6.22
Cape Town,ZA,-33.9258,18.4232,56.37,20,94,4.61
Lorengau,PG,-2.0226,147.2712,84.92,99,69,5.93
Rāvar,IR,31.2656,56.8055,77.83,52,21,4.9
Namatanai,PG,-3.6667,152.4333,85.84,72,65,11.1
Jamestown,US,42.097,-79.2353,62.6,75,94,8.05
Dukat,RU,62.55,155.55,32.45,72,89,2.48
Kautokeino,NO,69.0125,23.0412,12.09,100,94,3.56
Mar del Plata,AR,-38.0023,-57.5575,60.73,0,94,8.05
Arlit,NE,18.7369,7.3853,86.99,2,11,7.14
Hasaki,JP,35.7333,140.8333,62.85,75,88,11.5
Dikson,RU,73.5069,80.5464,16.77,99,92,9.15
Bambous Virieux,MU,-20.3428,57.7575,76.08,75,88,12.66
Nohar,IN,29.1833,74.7667,96.04,76,12,16.89
Hobart,AU,-42.8794,147.3294,65.34,75,55,9.22
San Quintín,MX,30.4833,-115.95,59.47,0,80,7.58
Moura,PT,38.1401,-7.4486,50.0,0,87,6.91
Katsuura,JP,35.1333,140.3,63.01,75,88,17.27
Vaini,TO,-21.2,-175.2,78.8,75,89,6.91
Cherskiy,RU,68.75,161.3,30.4,100,93,10.25
Vardø,NO,70.3705,31.1107,23.0,40,80,12.66
San Miguel de Tucumán,AR,-26.8241,-65.2226,60.8,0,88,4.61
Torbay,CA,47.6666,-52.7314,37.87,90,87,14.97
Thurso,GB,58.5927,-3.5259,39.2,40,87,10.36
Lima,PE,-12.0432,-77.0282,63.77,75,88,5.75
Zapolyarnyy,RU,69.4154,30.8136,23.0,40,86,10.36
Cherdyn',RU,60.403,56.4787,38.12,100,85,7.54
Mayo,US,38.8876,-76.5119,69.06,1,88,7.36
Airai,TL,-8.9266,125.4092,76.28,55,40,2.33
Makkah al Mukarramah,SA,21.4267,39.8261,82.18,4,47,0.78
Bandarbeyla,SO,9.4942,50.8122,83.1,87,76,5.46
Bethel,US,41.3712,-73.414,60.42,75,82,4.61
Sālūmbar,IN,24.1333,74.05,86.0,20,26,4.97
Tilichiki,RU,60.4667,166.1,32.43,100,98,4.09
Longyearbyen,SJ,78.2186,15.6401,19.4,40,68,14.97
Tiksi,RU,71.6872,128.8694,30.69,16,83,6.44
Dubbo,AU,-32.25,148.6167,75.2,46,41,3.44
Worb,CH,46.9298,7.5631,47.53,75,100,4.61
Ponta do Sol,PT,32.6667,-17.1,53.24,65,81,1.99
Invermere,CA,50.5167,-116.0354,36.0,86,100,2.82
Hobyo,SO,5.3505,48.5268,83.88,10,67,7.27
Kiryat Gat,IL,31.61,34.7642,61.68,0,47,0.89
Nakamura,JP,32.9833,132.9333,62.01,100,97,5.66
Narsaq,GL,60.9167,-46.05,35.6,90,87,9.22
Marystown,CA,47.1666,-55.1483,36.91,93,92,11.32
Iseyin,NG,7.9667,3.6,73.49,100,87,4.29
Coquimbo,CL,-29.9533,-71.3436,55.4,0,88,3.44
Upernavik,GL,72.7868,-56.1549,16.92,12,95,5.86
Saint George,US,37.1041,-113.5841,72.3,1,20,21.85
Roald,NO,62.5833,6.1333,34.95,6,81,18.41
Badvel,IN,14.75,79.05,88.2,9,47,2.51
Emerald,AU,-23.5333,148.1667,78.01,75,41,9.22
Los Llanos de Aridane,ES,28.6585,-17.9182,64.4,0,59,8.05
Atuona,PF,-9.8,-139.0333,79.63,33,72,11.23
Yellowknife,CA,62.456,-114.3525,23.0,75,58,13.8
Coyhaique,CL,-45.5752,-72.0662,46.4,90,93,1.14
New Norfolk,AU,-42.7826,147.0587,63.28,55,72,4.0
Morehead,US,37.2711,-87.1764,68.65,75,100,3.44
Thompson,CA,55.7435,-97.8558,28.4,1,40,5.75
Krivosheino,RU,57.3431,83.9261,47.95,83,78,10.92
Nikolskoye,RU,59.7035,30.7861,32.04,0,80,4.12
Egvekinot,RU,66.3167,-179.1667,22.33,86,86,2.55
Hong Kong,HK,22.2855,114.1577,73.65,54,69,1.01
Richards Bay,ZA,-28.783,32.0377,66.24,6,94,7.31
Chicama,PE,-7.8447,-79.1469,67.86,49,84,6.53
Kandrian,PG,-6.2167,149.55,79.43,100,81,1.23
Acaraú,BR,-2.8856,-40.12,77.45,100,86,7.72
Cidreira,BR,-30.1811,-50.2056,63.5,13,83,6.91
Sulangan,PH,11.1373,123.7228,81.0,33,76,9.04
Carnarvon,AU,-24.8667,113.6333,77.0,0,50,6.91
Teknāf,BD,20.8624,92.3058,86.09,1,64,3.85
Avarua,CK,-21.2078,-159.775,84.2,96,74,8.05
Grindavik,IS,63.8424,-22.4338,39.2,75,93,6.91
Port Blair,IN,11.6667,92.75,83.89,85,67,0.69
Balagansk,RU,54.0103,103.0544,37.09,100,51,5.57
Vila do Maio,CV,15.1333,-23.2167,69.8,40,78,12.66
Vinh Long,VN,10.25,105.9667,86.0,40,74,9.22
Labuhan,ID,-6.8844,112.2051,84.61,42,67,4.92
Mackay,AU,-21.15,149.2,72.45,40,83,11.5
Yaan,NG,7.3833,8.5667,77.65,100,73,6.26
